Exchange Name,Exchange Acronym,Exchange Mic Code,Country,Currency,Time Zone,Open Time,Close Time
"Nyse National, Inc.",NSX,XCIS,United States,United States Dollar,America/New_York, 09:30, 16:00
Energy Exchange Istanbul,EXIST,EXTR,Turkey,Turkish Lira,Asia/Istanbul, 09:00, 17:30
European Energy Exchange - Regulated Market,EEX,XEER,Germany,Euro,Europe/Berlin, 08:00, 20:00
Bank Of America Merrill Lynch International Bank Designated Activity Company,BAMLI DAC,BMLI,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Vantage Capital Markets Llp - Otf,VCM OTF,VCMO,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Bse Sme,BSE SME,BSME,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Barclays Bank Plc - Systematic Internaliser,BBPLC SI,BBSI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Athens Exchange S.a. Derivatives Market,ATHEXD,XADE,Greece,Euro,Europe/Athens, 10:15, 17:20
Dw Sef Llc,DWSEF,DWSF,United States,United States Dollar,America/New_York, 09:30, 16:00
Berner Kantonalbank Otc-x,OTC-X,OTXB,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Cboe Europe - Lis Service (nl),CBOE EU LIS,LISZ,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Miax Pearl Equities Exchange Dark,EPRD,EPRD,United States,United States Dollar,America/New_York, 09:30, 16:00
Sparebank 1 Markets - Systematic Internaliser,SB1M,SB1M,Norway,Norwegian Krone,Europe/Copenhagen, 09:00, 17:00
Global Commodities Exchange,GCX,XGCX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Ipsx Wholesale,IPSX,IPXW,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Hong Kong Growth Enterprises Market,HK GEM,XGEM,Hong Kong,Hong Kong Dollar,Asia/Hong_Kong, 09:20, 16:00
Vontobel Liquidity Extender,VLEX,VLEX,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Virtu Financial Ireland Limited - Otc,VIRTU OTC,VFXO,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Japan Exchange Group,JPX,XJPX,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Ipsx,IPSX,IPSX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
State Street Bank International Fx - Systematic Internaliser,SSBI,SSBM,Germany,Euro,Europe/Berlin, 08:00, 20:00
Options Price Reporting Authority,OPRA,OPRA,United States,United States Dollar,America/New_York, 09:30, 16:00
"Sg Americas Securities, Llc",SGAS,SGAS,United States,United States Dollar,America/New_York, 09:30, 16:00
Nex Sef,NSL,NEXS,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Mercado Abierto Electronico S.a.,MAE,XMAB,Argentina,Argentine Peso,America/Argentina/Buenos_Aires, 11:00, 17:00
Cboe Europe - Regulated Market Integrated Book (nl),CBOE EU REGM LIT,BEUT,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Credit Suisse Securities (europe) Limited - Systematic Internaliser,CSSEL SI,SICS,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Osl Digital Securities Exchange,OSLDS,OSDS,Hong Kong,Hong Kong Dollar,Asia/Hong_Kong, 09:20, 16:00
Tradegate Exchange - Regulierter Markt,TGAG,XGRM,Germany,Euro,Europe/Berlin, 08:00, 20:00
Interactive Brokers Llc - Ats,IATS,IATS,United States,United States Dollar,America/New_York, 09:30, 16:00
Jump Liquidity,JLQD,JLQD,United States,United States Dollar,America/New_York, 09:30, 16:00
Asx - All Markets,ASX,XASX,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Bolsa De Comercio De Buenos Aires,BCBA,XBUE,Argentina,Argentine Peso,America/Argentina/Buenos_Aires, 11:00, 17:00
Kcg Acknowledge Fi,ACKFI,ACKF,United States,United States Dollar,America/New_York, 09:30, 16:00
Wall Street Access,WSAG,WSAG,United States,United States Dollar,America/New_York, 09:30, 16:00
Lme Clear,LMEC,LMEC,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Stock Exchange,CBSX,CBSX,United States,United States Dollar,America/New_York, 09:30, 16:00
Cassa Di Compensazione E Garanzia Spa - Ccp Equity Derivatives,CCGEQUITYDER,CGQD,Italy,Euro,Europe/Rome, 09:00, 17:25
Market For Investment Vehicles,MIV,MIVX,Italy,Euro,Europe/Rome, 09:00, 17:25
Trad-x,TRAD-X,TRDX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Credit Suisse Aktiengesellschaft,CSD,CSDA,Germany,Euro,Europe/Berlin, 08:00, 20:00
Svenska Handelsbanken Ab - Systematic Internaliser,SVEX,SVES,Sweden,Swedish Krona,Europe/Oslo, 09:00, 16:30
Nasdaq Midpoint-elo (m-elo),MELO,MELO,United States,United States Dollar,America/New_York, 09:30, 16:00
Instinet Blockcross Ats,BLKX,BLKX,United States,United States Dollar,America/New_York, 09:30, 16:00
New York Stock Exchange,NYSE,XNYS,United States,United States Dollar,America/New_York, 09:30, 16:00
National Association of Securities Dealers Automated Quotations,NASDAQ,XNAS,United States,United States Dollar,America/New_York, 09:30, 16:00
